Ls_num,Name,Portfolio,Rank,Year,appointment_begin,appointment_end,Constituency_No,State_name,Poll_No,gender,party,ID,start_source,end_source
17,Dr. Mahendra Nath Pandey,Heavy Industries,CM,2019,07-07-2021,Current,76,Uttar_Pradesh,0,M,BJP,17_Uttar_Pradesh_76_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Krishan Pal,Heavy Industries,MoS,2019,07-07-2021,Current,10,Haryana,0,M,BJP,17_Haryana_10_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Arjun Ram Meghwal,Heavy Industries and Public Enterprises,MoS,2019,30-05-2019,07-07-2021,2,Rajasthan,0,M,BJP,17_Rajasthan_2_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Arvind Ganpat Sawant,Heavy Industries and Public Enterprises,CM,2019,30-05-2019,12-11-2019,31,Maharashtra,0,M,SHS,17_Maharashtra_31_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1943.pdf
17,Shri Prakash Javadekar,Heavy Industries and Public Enterprises,CM,2019,12-11-2019,07-07-2021,,,,,,,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1943.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Ajay Kumar,Home Affairs,MoS,2019,07-07-2021,Current,28,Uttar_Pradesh,0,M,BJP,17_Uttar_Pradesh_28_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Amit Shah,Home Affairs,CM,2019,30-05-2019,Current,6,Gujarat,0,M,BJP,17_Gujarat_6_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri G. Kishan Reddy,Home Affairs,MoS,2019,30-05-2019,07-07-2021,8,Telangana,0,M,BJP,17_Telangana_8_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Nisith Pramanik,Home Affairs,MoS,2019,07-07-2021,Current,1,West_Bengal,0,M,BJP,17_West_Bengal_1_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Nityanand Rai,Home Affairs,MoS,2019,30-05-2019,Current,22,Bihar,0,M,BJP,17_Bihar_22_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
