Ls_num,Name,Portfolio,Rank,Year,appointment_begin,Constituency_No,State_name,Poll_No,gender,party,ID
17,Dr. Subhas Sarkar,Education,MoS,2019,07-07-2021,36,West_Bengal,0,M,BJP,17_West_Bengal_36_0_1
17,Dr. Bhagwat Kishanrao Karad,Finance,MoS,2019,07-07-2021,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Dr. Rajkumar Ranjan Singh,External Affairs; and Education,MoS,2019,07-07-2021,1,Manipur,0,M,BJP,17_Manipur_1_0_1
17,Dr. Bharati Pravin Pawar,Health and Family Welfare,MoS,2019,07-07-2021,20,Maharashtra,0,F,BJP,17_Maharashtra_20_0_1
17,Shri Bishweswar Tudu,Tribal Affairs; and Jal Shakti,MoS,2019,07-07-2021,5,Odisha,0,M,BJP,17_Odisha_5_0_1
17,Shri Shantanu Thakur,"Ports, Shipping and Waterways",MoS,2019,07-07-2021,14,West_Bengal,0,M,BJP,17_West_Bengal_14_0_1
17,Dr. Munjapara Mahendrabhai,Women and Child Development; and AYUSH,MoS,2019,07-07-2021,9,Gujarat,0,M,BJP,17_Gujarat_9_0_1
17,Shri John Barla,Minority Affairs,MoS,2019,07-07-2021,2,West_Bengal,0,M,BJP,17_West_Bengal_2_0_1
17,Dr. L. Murugan,"Fisheries, Animal Husbandry and Dairying; and Information and Broadcasting",MoS,2019,07-07-2021,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Nisith Pramanik,Home Affairs; and Youth Affairs and Sports,MoS,2019,07-07-2021,1,West_Bengal,0,M,BJP,17_West_Bengal_1_0_1
